Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,table_name,hash,index_hash
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 1)","(_id, 1)","(table_name, properties)","(hash, 9ff464f5f34d69692fd58bfc5ce406c0f46a6d74)","(index_hash, 7c030d06bb4a41bb517bae9295fa5a1dd57fa756)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 2)","(_id, 2)","(table_name, folder_counts)","(hash, 93ce81ce28eee8c1093d8c7c354d289e961e0a3d)","(index_hash, f3d5b0bb6a1d51d8a7708809700c666f69f183b2)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 3)","(_id, 3)","(table_name, folders)","(hash, 1bcd6e9eb62fa38b51ac5dcdbe02508f74a80905)","(index_hash, 88e57dcb0812588c094013ab1caa870be9514c1f)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 4)","(_id, 5)","(table_name, threads_metadata)","(hash, 74258ec0806a0f06ce08da84db4bea147aef32c6)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 5)","(_id, 8)","(table_name, group_conversations)","(hash, efc9b2c77e1a69ac9c25cdf0366374674c09e316)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 6)","(_id, 9)","(table_name, ranked_threads)","(hash, 4549b13a33bacd9d5b68d6524b322bef39abf61e)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 7)","(_id, 10)","(table_name, thread_participants)","(hash, c4d02f69b97ca8ea723f5e11bded58bbfa425d08)","(index_hash, 4f0fe1a85c734778e2a6070e1fb17fb89034cccd)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 8)","(_id, 11)","(table_name, message_reactions)","(hash, c52281e658d994f64801557cf54b7ef88f10b5ad)","(index_hash, 61ede168a8a3be1258ecaaa150cf1b6325ae02e2)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 9)","(_id, 12)","(table_name, montage_message_reactions)","(hash, c282eb5c1f138b982184c8490afae07908ee3120)","(index_hash, 1d06c0376644e63afc78d1d90cd596a98f1335b4)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 10)","(_id, 13)","(table_name, fb_events)","(hash, 7fb935bec2f57c04195fcf07f13bc8c5a3bfc70e)","(index_hash, 76ced4e5877abf6cda68c259f1a0bd9721917639)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 11)","(_id, 14)","(table_name, fb_event_members)","(hash, bfca8c2dd6016bb448482485c59db360678022f4)","(index_hash, 220f7181caf4181f137c2b0fe2a770f22a5d6a7f)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 12)","(_id, 15)","(table_name, montage_directs)","(hash, 80b77938b727e4a963cb365fc7e5a757aacc5141)","(index_hash, 81e3aeaf1bb3257362feb698c79f218cfd5d6015)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 13)","(_id, 16)","(table_name, montage_message_poll)","(hash, 3601d7152a6b75e6c333dac94e62b13fec752bc5)","(index_hash, ce9dff78c3c9288f245e34094cd3057237922f98)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 14)","(_id, 17)","(table_name, montage_message_poll_options)","(hash, 9f86e768b309462c3e7b0cacd44256bf656e3953)","(index_hash, abed35df76b8d1f1350e076f2e4d833f2ca775f7)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 15)","(_id, 18)","(table_name, montage_message_interactive_overlays)","(hash, 59db128999f5c4193df5f5ca9cef6f031093e417)","(index_hash, abed35df76b8d1f1350e076f2e4d833f2ca775f7)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 16)","(_id, 19)","(table_name, thread_themes)","(hash, 7d4e3385b0f85874396d49a570aaa2a7db17a151)","(index_hash, 99c1c6aabba590bfcc0f2a136626083cf23b3d65)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 17)","(_id, 20)","(table_name, virtual_folders)","(hash, 2fd02dfa35276f887bfaadeda7ba251a76dff620)","(index_hash, ed4589a4b1daa3cb50065ce5a583d694c65bcc68)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 18)","(_id, 21)","(table_name, community)","(hash, 3969099f6c8e4bcdaad60135fa8c51c73909112a)","(index_hash, b5a61d28069ba893c9c4aa8d0797b8d95f595074)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 19)","(_id, 31)","(table_name, messages)","(hash, 20b9d0dbde085625be94219aca86a8a3c0ccd73c)","(index_hash, 11998b4cd52c4b66850f750873e2ec29af462ac5)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 20)","(_id, 33)","(table_name, threads)","(hash, 13466a89b729b0ff9b64866819e283ddce77e964)","(index_hash, 68166c2a84c5a152b76d2572a4187cd6ef8571d6)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 21)","(_id, 35)","(table_name, thread_users)","(hash, b917baf11febc33d6f65f7b49d8f6570e2c0b59b)","(index_hash, e0c21f2ab76dde66b4e37392562514cc8259bcdc)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 22)","(_id, 36)","(table_name, __database__)","(hash, 9ff464f5f34d69692fd58bfc5ce406c0f46a6d74-93ce81ce28eee8c1093d8c7c354d289e961e0a3d-1bcd6e9eb62fa38b51ac5dcdbe02508f74a80905-13466a89b729b0ff9b64866819e283ddce77e964-74258ec0806a0f06ce08da84db4bea147aef32c6-20b9d0dbde085625be94219aca86a8a3c0ccd73c-b917baf11febc33d6f65f7b49d8f6570e2c0b59b-efc9b2c77e1a69ac9c25cdf0366374674c09e316-4549b13a33bacd9d5b68d6524b322bef39abf61e-c4d02f69b97ca8ea723f5e11bded58bbfa425d08-c52281e658d994f64801557cf54b7ef88f10b5ad-c282eb5c1f138b982184c8490afae07908ee3120-7fb935bec2f57c04195fcf07f13bc8c5a3bfc70e-bfca8c2dd6016bb448482485c59db360678022f4-80b77938b727e4a963cb365fc7e5a757aacc5141-3601d7152a6b75e6c333dac94e62b13fec752bc5-9f86e768b309462c3e7b0cacd44256bf656e3953-59db128999f5c4193df5f5ca9cef6f031093e417-7d4e3385b0f85874396d49a570aaa2a7db17a151-2fd02dfa35276f887bfaadeda7ba251a76dff620-3969099f6c8e4bcdaad60135fa8c51c73909112a-)",
